Index,Velocity_Profile,Velocity_Accel,Velocity_Brake,Velocity_Corner
0,0,0,32.3502,32.16
1,4.78066,4.78066,31.6521,32.16
2,7.00644,7.00644,31.03,32.16
3,8.66788,8.66788,30.6269,32.16
4,10.0322,10.0322,30.2129,32.16
5,11.1724,11.1724,30.2129,28.4638
6,12.2798,12.2798,30.2129,28.0367
7,13.2371,13.2371,30.2129,22.9762
8,14.1169,14.1169,30.2129,17.9519
9,14.8644,14.8644,30.2129,16.0266
10,14.7814,15.2779,30.2129,14.7814
11,13.6463,15.2779,30.2129,13.6463
12,13.3415,15.2779,30.2129,13.3415
13,14.2539,15.2779,30.2129,14.2539
14,15.2779,15.2779,30.2129,15.3521
15,15.3968,15.3968,30.2129,15.7495
16,15.6463,15.6463,30.2129,17.7988
17,16.1607,16.1607,30.2129,20.4661
18,16.7353,16.7353,30.2129,21.8488
19,17.3723,17.3723,30.2129,20.5703
20,17.9304,17.9304,30.2129,20.7712
21,18.4097,18.4097,30.2129,18.7973
22,17.3652,18.6107,30.2129,17.3652
23,16.733,18.6107,30.2129,16.733
24,17.1265,18.6107,30.2129,17.1265
25,18.6107,18.6107,30.2129,19.0498
26,16.4423,18.8687,30.2129,16.4423
27,14.9249,18.8687,30.2129,14.9249
28,13.5717,18.8687,30.2129,13.5717
29,12.3347,18.8687,30.2129,12.3347
30,11.4445,18.8687,30.2129,11.4445
31,11.4643,18.8687,30.2129,11.4643
32,11.3627,18.8687,30.2129,11.3627
33,12.2714,18.8687,30.2129,12.2714
34,11.8126,18.8687,30.2129,11.8126
35,11.4974,18.8687,30.2129,11.4974
36,11.8452,18.8687,30.2129,11.8452
37,10.9737,18.8687,30.2129,10.9737
38,10.6367,18.8687,30.2129,10.6367
39,11.079,18.8687,30.2129,11.079
40,11.3567,18.8687,30.2129,11.3567
41,11.1515,18.8687,30.2129,11.1515
42,12.9994,18.8687,30.2129,12.9994
43,12.9171,18.8687,30.2129,12.9171
44,12.9938,18.8687,30.2129,12.9938
45,12.3301,18.8687,30.2129,12.3301
46,13.3195,18.8687,30.2129,13.3195
47,13.0137,18.8687,30.2129,13.0137
48,13.5761,18.8687,30.2129,13.5761
49,13.3147,18.8687,30.2129,13.3147
50,14.9698,18.8687,30.2129,14.9698
51,13.5543,18.8687,30.2129,13.5543
52,13.462,18.8687,30.2129,13.462
53,13.2628,18.8687,30.2129,13.2628
54,11.035,18.8687,30.2129,11.035
55,9.74511,18.8687,30.2129,9.74511
56,10.5691,18.8687,30.2129,10.5691
57,11.1708,18.8687,30.2129,11.1708
58,11.8217,18.8687,30.2129,11.8217
59,17.2821,18.8687,30.2129,17.2821
60,18.8687,18.8687,29.2888,32.16
61,19.6064,19.6064,28.3263,32.16
62,20.2332,20.2332,27.6547,32.16
63,20.8218,20.8218,27.6547,21.2611
64,16.3518,20.9949,27.6547,16.3518
65,13.9297,20.9949,27.6547,13.9297
66,13.6743,20.9949,27.6547,13.6743
67,12.7671,20.9949,27.6547,12.7671
68,12.5532,20.9949,27.6547,12.5532
69,13.3095,20.9949,27.6547,13.3095
70,15.1897,20.9949,27.6547,15.1897
71,15.5082,20.9949,27.6547,15.5082
72,17.8876,20.9949,27.6547,17.8876
73,20.9949,20.9949,27.6547,24.3652
74,21.3951,21.3951,27.169,29.2861
75,21.8952,21.8952,26.963,27.2715
76,19.7037,22.3336,26.963,19.7037
77,18.8583,22.3336,26.963,18.8583
78,17.5992,22.3336,26.963,17.5992
79,18.0982,22.3336,26.963,18.0982
80,18.3841,22.3336,26.963,18.3841
81,18.8571,22.3336,26.963,18.8571
82,14.2175,22.3336,26.963,14.2175
83,13.2782,22.3336,26.963,13.2782
84,12.9754,22.3336,26.963,12.9754
85,12.7389,22.3336,26.963,12.7389
86,13.3277,22.3336,26.963,13.3277
87,17.4428,22.3336,26.963,17.4428
88,21.9708,22.3336,26.963,21.9708
89,18.5268,22.3336,26.963,18.5268
90,16.8148,22.3336,26.963,16.8148
91,18.5299,22.3336,26.963,18.5299
92,19.1142,22.3336,26.963,19.1142
93,18.8906,22.3336,26.963,18.8906
94,22.3336,22.3336,26.963,25.9016
95,22.7079,22.7079,26.0401,32.16
96,23.2641,23.2641,24.996,32.16
97,23.8438,23.8438,23.8438,32.16
